"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분"
"교육부","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","특수목적고등학교","N","단설","주간","19720909","19550401","1168010300","서울특별시 강남구 개포동","1272번지.","135962","06311","서울특별시 강남구 개포로22길 65","(개포동, 국악고등학교)","37.4762298973368","127.051475651587","02-3460-0500","02-3460-0555","http://gugak.sen.hs.kr","남녀공학"
"교육부","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","일반고등학교","N","부설","주간","19461015","19460901","1129013500","서울특별시 성북구 종암동","19번지.","136090","02796","서울특별시 성북구 월곡로 6","(종암동)","37.5947237544221","127.038118693891","02-913-7305","02-919-5275","https://snu.sen.hs.kr/","남녀공학"
"교육부","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","특수목적고등학교","N","단설","주간","19600513","19600513","1154510300","서울특별시 금천구 시흥동","산24-17.","153033","08650","서울특별시 금천구 시흥대로38길 62","(시흥동)","37.446354","126.906414","02-896-1094","02-896-1096","http://kugak-am.sen.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","일반고등학교","N","단설","주간","19890428","19881223","1171010400","서울특별시 송파구 송파동","172.","138170","05678","서울특별시 송파구 송이로 42","(송파동,가락고등학교)","37.501637","127.116943","02-416-4658","02-421-9669","http://garak.sen.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","일반고등학교","N","단설","주간","19850908","19841217","1174010300","서울특별시 강동구 상일동","267번지.","134837","05279","서울특별시 강동구 구천면로 572","(상일동)","37.549890","127.160702","02-427-0231","02-441-3494","http://kangdong.sen.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","일반고등학교","N","단설","주간","19831101","19831101","1147010200","서울특별시 양천구 목동","735번지.","158814","07958","서울특별시 양천구 목동중앙남로 27",", 강서고등학교 (목동)","37.5367773","126.8663295","02-2642-0725","02-2651-3046","http://gangseo.sen.hs.kr","남"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","일반고등학교","N","단설","주간","19870512","19870512","1168010300","서울특별시 강남구 개포동","173번지.","135240","06324","서울특별시 강남구 개포로 402","(개포동, 개포고등학교)","37.4849587555848","127.059405370387","02-576-3333","02-571-6560","http://gaepo.sen.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","일반고등학교","N","부속","주간","19800515","19800131","1121510700","서울특별시 광진구 화양동","사범대학부속고등학교.","143701","05029","서울특별시 광진구 능동로 120",", 건국대학교사범대학부속고등학교 (화양동)","37.54006","127.08034","070-7012-3500","02-456-0646","http://konkuk.sen.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","일반고등학교","N","단설","주간","19001003","19001003","1168010500","서울특별시 강남구 삼성동",".","","06086","서울특별시 강남구 영동대로 643",", 경기고등학교 (삼성동)","37.5175659822744","127.056073923117","02-3496-7300","02-3496-7497","http://kyunggi.sen.hs.kr","남"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","일반고등학교","N","단설","주간","19080401","19080401","1168010300","서울특별시 강남구 개포동","152번지.","135800","06324","서울특별시 강남구 삼성로 29",", 경기여자고등학교 (개포동)","37.4868872583012","127.065566941998","02-573-6797","02-575-1157","http://kgg.sen.hs.kr","녀"
