"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분"
"교육부","서울특별시성북강북교육지원청","서울특별시 성북구","S000003514","서울대학교사범대학부설중학교","03","국립","","N","부설","주간","19460901","19460901","1129013500","서울특별시 성북구 종암동","7-10.","136858","02796","서울특별시 성북구 월곡로 36","(종암동)","37.596201","127.039164","02-943-5812","02-909-1671","http://snums.sen.ms.kr","남"
"교육부","서울특별시중부교육지원청","서울특별시 종로구","S000003562","서울대학교사범대학부설여자중학교","03","국립","","N","부설","주간","19690303","19690303","1111016500","서울특별시 종로구 이화동","199번지.","03087","03087","서울특별시 종로구 대학로 64",", 서울대학교사범대학부설여자중학교 (이화동)","37.5779281294167","127.00389886201","02-762-5252","02-745-0664","http://snu.sen.ms.kr","녀"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000698","개원중학교","03","공립","","N","단설","주간","19841204","19841204","1168010300","서울특별시 강남구 개포동","184번지.","135993","06328","서울특별시 강남구 영동대로 101",", 개원중학교 (개포동,개원중학교)","37.4916411882228","127.071414916478","02-3411-8321","02-3411-8329","http://gaewon.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000700","경원중학교","03","공립","","N","단설","주간","19810301","19810301","1165010600","서울특별시 서초구 잠원동","66-1.","137030","06521","서울특별시 서초구 신반포로33길 39","(잠원동,경원중학교)","37.510997","127.008879","02-593-6578","02-599-0418","http://gyeongwon.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000701","구룡중학교","03","공립","","N","단설","주간","19890418","19881224","1168010300","서울특별시 강남구 개포동","650번지.","135806","06318","서울특별시 강남구 선릉로 103","(개포동,구룡중학교)","37.486153295344","127.056122800297","02-577-3708","02-577-3704","http://gury.sen.ms.kr/","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000702","압구정중학교","03","공립","","N","단설","주간","19830429","19830301","1168011000","서울특별시 강남구 압구정동","471번지.","135111","06003","서울특별시 강남구 압구정로 225",", 압구정중학교 (압구정동,압구정중학교)","37.5302391768902","127.0329857161","02-543-1393","02-514-7249","http://apgujeong.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000704","단국대학교사범대학부속중학교","03","사립","","N","부속","주간","19471103","19410525","1168010600","서울특별시 강남구 대치동","1013번지.","135852","06278","서울특별시 강남구 도곡로64길 21","(대치동)","37.4953357","127.0564936","02-2191-2600","02-557-6837","http://dankook.sen.ms.kr","남"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000705","대명중학교","03","공립","","N","단설","주간","19900501","19900120","1168010600","서울특별시 강남구 대치동","952.","135847","06183","서울특별시 강남구 역삼로87길 26","(대치동, 대명중학교)","37.5060558822352","127.061064277264","02-563-3701","02-565-3404","http://daemyeong.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000706","대왕중학교","03","공립","","N","단설","주간","19940506","19940105","1168011500","서울특별시 강남구 수서동","750번지.","135886","06362","서울특별시 강남구 광평로20길 7","(수서동, 대왕중학교)","37.4834565459267","127.087340196492","02-2226-2646","02-2226-2640","http://daewang.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000707","대청중학교","03","공립","","N","단설","주간","19870506","19870506","1168010600","서울특별시 강남구 대치동","502번지.","135281","06289","서울특별시 강남구 양재천로 321","(대치동, 대청중학교)","37.4904302007366","127.058351319543","02-553-9830","02-561-6224","http://daecheong.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000708","대치중학교","03","공립","","N","단설","주간","19860129","19860129","1168011800","서울특별시 강남구 도곡동","460번지.","135855","06299","서울특별시 강남구 남부순환로378길 39","(도곡동,대치중학교)","37.4845654","127.0472825","02-572-9781","02-579-7315","http://daechi.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000709","도곡중학교","03","공립","","N","단설","주간","19910423","19910121","1168011800","서울특별시 강남구 도곡동","541-2.","135857","06273","서울특별시 강남구 언주로57길 31","(도곡동,도곡중학교)","37.4923472","127.0450882","02-3462-5951","02-3461-7393","http://dogok.sen.ms.kr","남녀공학"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000710","동덕여자중학교","03","사립","","N","단설","주간","19100427","19080427","1165010100","서울특별시 서초구 방배동","산82번지.","137063","06700","서울특별시 서초구 효령로2길 123-5","(방배동,동덕여자중고등학교)","37.4","126.9","02-586-5417","02-582-5428","http://dongduk.sen.ms.kr","녀"
