"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST36-0085","교육/예술/종교","문화시설","미술관","","인사아트센터","인사아트센터","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0086","교육/예술/종교","문화시설","미술관","","일랑미술관","일랑미술관","","","서울특별시","종로구","평창동"
"BE_LiST36-0087","교육/예술/종교","문화시설","미술관","","일오삼갤러리","일오삼갤러리","","","서울특별시","서초구","반포4동"
"BE_LiST36-0088","교육/예술/종교","문화시설","미술관","","자하미술관","자하미술관","","","서울특별시","종로구","부암동"
"BE_LiST36-0089","교육/예술/종교","문화시설","미술관","","장은선갤러리","장은선갤러리","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0090","교육/예술/종교","문화시설","미술관","","정표구화랑","정표구화랑","","","서울특별시","중구","청구동"
"BE_LiST36-0091","교육/예술/종교","문화시설","미술관","","조갤러리","조갤러리","","","서울특별시","종로구","가회동"
"BE_LiST36-0092","교육/예술/종교","문화시설","미술관","","조선화랑","조선화랑","","","서울특별시","강남구","삼성1동"
"BE_LiST36-0093","교육/예술/종교","문화시설","미술관","","진선갤러리","진선갤러리","","","서울특별시","종로구","삼청동"
"BE_LiST36-0094","교육/예술/종교","문화시설","미술관","","진화랑","진화랑","","","서울특별시","종로구","사직동"
"BE_LiST36-0095","교육/예술/종교","문화시설","미술관","","청작화랑","청작화랑","","","서울특별시","강남구","신사동"
"BE_LiST36-0096","교육/예술/종교","문화시설","미술관","","청화랑","청화랑","","","서울특별시","강남구","청담동"
"BE_LiST36-0097","교육/예술/종교","문화시설","미술관","","초대화랑","초대화랑","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0098","교육/예술/종교","문화시설","미술관","","카사","카사","","","서울특별시","종로구","사직동"
"BE_LiST36-0099","교육/예술/종교","문화시설","미술관","","카이스갤러리","카이스갤러리","","","서울특별시","강남구","청담동"
"BE_LiST36-0100","교육/예술/종교","문화시설","미술관","","케이앤갤러리","케이앤갤러리","","","서울특별시","강남구","청담동"
"BE_LiST36-0101","교육/예술/종교","문화시설","미술관","","쿤스트독/미술관","쿤스트독미술관","","","서울특별시","종로구","청운효자동"
"BE_LiST36-0102","교육/예술/종교","문화시설","미술관","","태양석고조각","태양석고조각","","","서울특별시","관악구","보라매동"
