"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW04-0059","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대망촬영지","대망촬영지","","",""
"BE_IW04-0060","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대왕세종촬영장","대왕세종촬영장","","",""
"BE_IW04-0061","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대장금촬영지","대장금촬영지","","",""
"BE_IW04-0062","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대장금촬영지","대장금촬영지","","",""
"BE_IW04-0063","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대장금촬영지","대장금촬영지","전라남도","구례군","토지면"
"BE_IW04-0064","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대장금촬영지","대장금촬영지","","",""
"BE_IW04-0065","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대장금테마파크","대장금테마파크","","",""
"BE_IW04-0066","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대조영촬영장","대조영촬영장","","",""
"BE_IW04-0067","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","대추나무사랑/걸렸네촬영장","대추나무사랑걸렸네촬영장","충청북도","진천군","문백면"
"BE_IW04-0068","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","돌아와요순애씨촬영지","돌아와요순애씨촬영지","","",""
"BE_IW04-0069","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","동감촬영장소","동감촬영장소","","",""
"BE_IW04-0070","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","동승촬영지","동승촬영지","","",""
"BE_IW04-0071","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","드라마꽃보다남자촬영지","드라마꽃보다남자촬영지","","",""
"BE_IW04-0072","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","드라마세트장","드라마세트장","충청북도","괴산군","청천면"
"BE_IW04-0073","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","드라마영광의재인촬영지","드라마영광의재인촬영지","","",""
"BE_IW04-0074","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","드라마촬영장","드라마촬영장","","",""
"BE_IW04-0075","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","러빙유촬영지","러빙유촬영지","제주특별자치도","제주시","조천읍"
"BE_IW04-0076","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","러빙유촬영지","러빙유촬영지","","",""
"BE_IW04-0077","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","러빙유촬영지","러빙유촬영지","제주특별자치도","제주시","한경면"
"BE_IW04-0078","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","로망스촬영지","로망스촬영지","","",""
"BE_IW04-0079","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","로망스촬영지","로망스촬영지","","",""
"BE_IW04-0080","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","로망스촬영지","로망스촬영지","","",""
"BE_IW04-0081","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","로망스촬영지","로망스촬영지","","",""
"BE_IW04-0082","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","마이걸촬영지","마이걸촬영지","제주특별자치도","서귀포시","성산읍"
"BE_IW04-0083","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","마이걸촬영지","마이걸촬영지","","",""
"BE_IW04-0084","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","마이걸촬영지","마이걸촬영지","","",""
"BE_IW04-0085","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","마파도촬영지","마파도촬영지","전라남도","영광군","백수읍"
"BE_IW04-0086","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","매표소","매표소","충청남도","부여군","충화면"
"BE_IW04-0087","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","모래시계촬영장소","모래시계촬영장소","","",""
"BE_IW04-0088","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","무대마당","무대마당","","",""
"BE_IW04-0089","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","무인시대/촬영장","무인시대촬영장","경상북도","문경시","문경읍"
"BE_IW04-0090","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","밀양영화세트장","밀양영화세트장","","",""
"BE_IW04-0091","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","밀양촬영지","밀양촬영지","","",""
"BE_IW04-0092","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","바람의나라","바람의나라","경상남도","산청군","차황면"
"BE_IW04-0093","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","바람의언덕","바람의언덕","경상남도","거제시","남부면"
"BE_IW04-0094","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","박하사탕/촬영지","박하사탕촬영지","충청북도","제천시","백운면"
"BE_IW04-0095","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","백만장자와결혼하기/촬영지","백만장자와결혼하기촬영지","제주특별자치도","서귀포시","표선면"
"BE_IW04-0096","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","번지점프를하다촬영지","번지점프를하다촬영지","","",""
"BE_IW04-0097","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","번지점프를하다촬영지","번지점프를하다촬영지","","",""
"BE_IW04-0098","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","봄날은간다/촬영지","봄날은간다촬영지","강원도","삼척시","근덕면"
"BE_IW04-0099","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","봄날촬영지","봄날촬영지","제주특별자치도","제주시","한림읍"
"BE_IW04-0100","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","봄여름가을/겨울그리고봄","봄여름가을겨울그리고봄","경상북도","청송군","부동면"
"BE_IW04-0101","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","봄여름가을겨울그리고봄/영화촬영세트장","봄여름가을겨울그리고봄영화촬영세트장","강원도","평창군","대관령면"
"BE_IW04-0102","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","봄여름가을겨울그리고봄촬영지","봄여름가을겨울그리고봄촬영지","","",""
