"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST37-0001","관광/숙박","숙박","특1급호텔","","JW메리어트/호텔서울","JW메리어트호텔서울","","","서울특별시","서초구","반포4동"
"BE_LiST37-0002","관광/숙박","숙박","특1급호텔","","메리어트 이그제큐티브 아파트먼트","메리어트 이그제큐티브 아파트먼트","","","서울특별시","영등포구","여의동"
"BE_LiST37-0003","관광/숙박","숙박","특1급호텔","","W워커힐","W워커힐","","","서울특별시","광진구","광장동"
"BE_LiST37-0004","관광/숙박","숙박","특1급호텔","","그랜드앰배서더/호텔서울","그랜드앰배서더호텔서울","","","서울특별시","중구","장충동"
"BE_LiST37-0005","관광/숙박","숙박","특1급호텔","","그랜드인터컨티넨탈/서울파르나스","그랜드인터컨티넨탈서울파르나스","","","서울특별시","강남구","삼성1동"
"BE_LiST37-0006","관광/숙박","숙박","특1급호텔","","그랜드하얏트/서울","그랜드하얏트서울","","","서울특별시","용산구","한남동"
"BE_LiST37-0007","관광/숙박","숙박","특1급호텔","","그랜드힐튼/호텔서울","그랜드힐튼호텔서울","","","서울특별시","서대문구","홍은2동"
"BE_LiST37-0008","관광/숙박","숙박","특1급호텔","","노보텔/앰배서더강남","노보텔앰배서더강남","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0009","관광/숙박","숙박","특1급호텔","","롯데시티호텔/김포공항","롯데시티호텔김포공항","","","서울특별시","강서구","방화2동"
"BE_LiST37-0010","관광/숙박","숙박","특1급호텔","","롯데호텔","롯데호텔","","","서울특별시","중구","명동"
"BE_LiST37-0011","관광/숙박","숙박","특1급호텔","","롯데호텔/롯데월드","롯데호텔롯데월드","","","서울특별시","송파구","잠실3동"
"BE_LiST37-0012","관광/숙박","숙박","특1급호텔","","르네상스/서울호텔","르네상스서울호텔","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0013","관광/숙박","숙박","특1급호텔","","메이필드호텔","메이필드호텔","","","서울특별시","강서구","발산1동"
"BE_LiST37-0014","관광/숙박","숙박","특1급호텔","","밀레니엄서울/힐튼호텔","밀레니엄서울힐튼호텔","","","서울특별시","중구","회현동"
"BE_LiST37-0015","관광/숙박","숙박","특1급호텔","","반얀트리클럽/&스파서울","반얀트리클럽&스파서울","","","서울특별시","중구","장충동"
"BE_LiST37-0016","관광/숙박","숙박","특1급호텔","","서울/팔레스호텔","서울팔레스호텔","","","서울특별시","서초구","반포4동"
"BE_LiST37-0017","관광/숙박","숙박","특1급호텔","","쉐라톤그랜드/워커힐","쉐라톤그랜드워커힐","","","서울특별시","광진구","광장동"
"BE_LiST37-0018","관광/숙박","숙박","특1급호텔","","쉐라톤서울/디큐브시티호텔","쉐라톤서울디큐브시티호텔","","","서울특별시","구로구","신도림동"
"BE_LiST37-0019","관광/숙박","숙박","특1급호텔","","신라호텔","신라호텔","","","서울특별시","중구","장충동"
"BE_LiST37-0020","관광/숙박","숙박","특1급호텔","","엘루이호텔","엘루이호텔","","","서울특별시","강남구","청담동"
"BE_LiST37-0021","관광/숙박","숙박","특1급호텔","","웨스틴조선호텔/서울","웨스틴조선호텔서울","","","서울특별시","중구","소공동"
"BE_LiST37-0022","관광/숙박","숙박","특1급호텔","","인터컨티넨탈/서울코엑스","인터컨티넨탈서울코엑스","","","서울특별시","강남구","삼성1동"
"BE_LiST37-0023","관광/숙박","숙박","특1급호텔","","임피리얼/팰리스호텔","임피리얼팰리스호텔","","","서울특별시","강남구","논현2동"
"BE_LiST37-0024","관광/숙박","숙박","특1급호텔","","콘래드서울","콘래드서울","","","서울특별시","영등포구","여의동"
"BE_LiST37-0025","관광/숙박","숙박","특1급호텔","","파크하얏트/서울호텔","파크하얏트서울호텔","","","서울특별시","강남구","대치2동"
"BE_LiST37-0026","관광/숙박","숙박","특1급호텔","","플라자호텔","플라자호텔","","","서울특별시","중구","소공동"
"BE_LiST37-0027","관광/숙박","숙박","특1급호텔","","호텔리츠/칼튼서울","호텔리츠칼튼서울","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0028","관광/숙박","숙박","특2급호텔","","노보텔/앰배서더독산","노보텔앰배서더독산","","","서울특별시","금천구","독산4동"
"BE_LiST37-0029","관광/숙박","숙박","특2급호텔","","라마다/서울호텔","라마다서울호텔","","","서울특별시","강남구","삼성2동"
"BE_LiST37-0030","관광/숙박","숙박","특2급호텔","","라마다호텔/앤스위트","라마다호텔앤스위트","","","서울특별시","중구","소공동"
"BE_LiST37-0031","관광/숙박","숙박","특2급호텔","","렉싱턴호텔","렉싱턴호텔","","","서울특별시","영등포구","여의동"
"BE_LiST37-0032","관광/숙박","숙박","특2급호텔","","롯데시티호텔/마포","롯데시티호텔마포","","","서울특별시","마포구","아현동"
"BE_LiST37-0033","관광/숙박","숙박","특2급호텔","","베스트웨스턴/강남호텔","베스트웨스턴강남호텔","","","서울특별시","강남구","논현1동"
"BE_LiST37-0034","관광/숙박","숙박","특2급호텔","","베스트웨스턴호텔/나이아가라","베스트웨스턴호텔나이아가라","","","서울특별시","강서구","염창동"
"BE_LiST37-0035","관광/숙박","숙박","특2급호텔","","서울가든호텔","서울가든호텔","","","서울특별시","마포구","도화동"
"BE_LiST37-0036","관광/숙박","숙박","특2급호텔","","세종호텔","세종호텔","","","서울특별시","중구","명동"
"BE_LiST37-0037","관광/숙박","숙박","특2급호텔","","스탠포드/호텔서울","스탠포드호텔서울","","","서울특별시","마포구","상암동"
"BE_LiST37-0038","관광/숙박","숙박","특2급호텔","","아카시아호텔","아카시아호텔","","","서울특별시","중구","을지로동"
"BE_LiST37-0039","관광/숙박","숙박","특2급호텔","","캐피탈호텔","캐피탈호텔","","","서울특별시","용산구","서빙고동"
"BE_LiST37-0040","관광/숙박","숙박","특2급호텔","","코리아나호텔","코리아나호텔","","","서울특별시","중구","명동"
"BE_LiST37-0041","관광/숙박","숙박","특2급호텔","","퍼시픽호텔","퍼시픽호텔","","","서울특별시","중구","명동"
"BE_LiST37-0042","관광/숙박","숙박","특2급호텔","","프리마호텔","프리마호텔","","","서울특별시","강남구","청담동"
"BE_LiST37-0043","관광/숙박","숙박","특2급호텔","","호텔리베라","호텔리베라","","","서울특별시","강남구","청담동"
"BE_LiST37-0044","관광/숙박","숙박","특2급호텔","","호텔/프레지던트","호텔프레지던트","","","서울특별시","중구","명동"
"BE_LiST37-0045","관광/숙박","숙박","특2급호텔","","호텔피제이","호텔피제이","","","서울특별시","중구","광희동"
