"키","분류1","분류2","분류3","명칭","주소","도로명주소","행정 시","행정 구","행정 동"
"BE_LiST40-0115","관광/숙박","관광","문화재/유적지/능-묘","지광국사현묘탑","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0116","관광/숙박","관광","문화재/유적지/능-묘","창경궁홍화문","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0117","관광/숙박","관광","문화재/유적지/능-묘","창녕위궁재사","","","서울특별시","강북구","번3동"
"BE_LiST40-0118","관광/숙박","관광","문화재/유적지/능-묘","창덕궁과후원","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0119","관광/숙박","관광","문화재/유적지/능-묘","창빈안씨묘역","","","서울특별시","동작구","사당2동"
"BE_LiST40-0120","관광/숙박","관광","문화재/유적지/능-묘","천년의문","","","서울특별시","마포구","상암동"
"BE_LiST40-0121","관광/숙박","관광","문화재/유적지/능-묘","천상열차분야지도각석","","","서울특별시","중구","소공동"
"BE_LiST40-0122","관광/숙박","관광","문화재/유적지/능-묘","천추전","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0123","관광/숙박","관광","문화재/유적지/능-묘","청권사","","","서울특별시","서초구","방배1동"
"BE_LiST40-0124","관광/숙박","관광","문화재/유적지/능-묘","초안산조선시대분묘군","","","서울특별시","노원구","월계2동"
"BE_LiST40-0125","관광/숙박","관광","문화재/유적지/능-묘","충숙공이상길묘역","","","서울특별시","노원구","하계1동"
"BE_LiST40-0126","관광/숙박","관광","문화재/유적지/능-묘","충헌공김구묘역","","","서울특별시","송파구","오륜동"
"BE_LiST40-0127","관광/숙박","관광","문화재/유적지/능-묘","칠사당","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0128","관광/숙박","관광","문화재/유적지/능-묘","태강릉강릉(세계문화유산)","","","서울특별시","노원구","공릉2동"
"BE_LiST40-0129","관광/숙박","관광","문화재/유적지/능-묘","태강릉태릉(세계문화유산)","","","서울특별시","노원구","공릉2동"
"BE_LiST40-0130","관광/숙박","관광","문화재/유적지/능-묘","태릉","","","서울특별시","노원구","공릉2동"
"BE_LiST40-0131","관광/숙박","관광","문화재/유적지/능-묘","통명전","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0132","관광/숙박","관광","문화재/유적지/능-묘","풍기대","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0133","관광/숙박","관광","문화재/유적지/능-묘","풍기대","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0134","관광/숙박","관광","문화재/유적지/능-묘","함양문","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0135","관광/숙박","관광","문화재/유적지/능-묘","함양여씨묘역","","","서울특별시","구로구","고척2동"
"BE_LiST40-0136","관광/숙박","관광","문화재/유적지/능-묘","함인정","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0137","관광/숙박","관광","문화재/유적지/능-묘","향대청","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0138","관광/숙박","관광","문화재/유적지/능-묘","헌인릉(세계문화유산)","","","서울특별시","서초구","내곡동"
"BE_LiST40-0139","관광/숙박","관광","문화재/유적지/능-묘","헌인릉인릉","","","서울특별시","서초구","내곡동"
"BE_LiST40-0140","관광/숙박","관광","문화재/유적지/능-묘","헌인릉헌릉","","","서울특별시","서초구","내곡동"
"BE_LiST40-0141","관광/숙박","관광","문화재/유적지/능-묘","호국지장사","","","서울특별시","동작구","사당2동"
"BE_LiST40-0142","관광/숙박","관광","문화재/유적지/능-묘","홍례문","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0143","관광/숙박","관광","문화재/유적지/능-묘","홍릉","","","서울특별시","동대문구","청량리동"
"BE_LiST40-0144","관광/숙박","관광","문화재/유적지/능-묘","홍화문","","","서울특별시","종로구","사직동"
"BE_LiST40-0145","관광/숙박","관광","문화재/유적지/능-묘","효간공이정영묘역","","","서울특별시","동작구","사당4동"
"BE_LiST40-0146","관광/숙박","관광","문화재/유적지/능-묘","효령대군릉","","","서울특별시","서초구","방배1동"
"BE_LiST40-0147","관광/숙박","관광","문화재/유적지/능-묘","효령대군이보묘역","","","서울특별시","서초구","방배1동"
"BE_LiST40-0148","관광/숙박","관광","문화재/유적지/능-묘","희정당","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0149","관광/숙박","관광","유명 문화재/유적지","경복궁","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0150","관광/숙박","관광","유명 문화재/유적지","경희궁","","","서울특별시","종로구","사직동"
"BE_LiST40-0151","관광/숙박","관광","유명 문화재/유적지","대동문","","","서울특별시","강북구","인수동"
"BE_LiST40-0152","관광/숙박","관광","유명 문화재/유적지","덕수궁","","","서울특별시","중구","소공동"
"BE_LiST40-0153","관광/숙박","관광","유명 문화재/유적지","숭례문","","","서울특별시","중구","소공동"
"BE_LiST40-0154","관광/숙박","관광","유명 문화재/유적지","종묘(세계문화유산)","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0155","관광/숙박","관광","유명 문화재/유적지","창경궁","","","서울특별시","종로구","종로1.2.3.4가동"
