"키값","분류1","분류2","분류3","분류4","검색어","명칭","주소","도로명주소","행정시","행정구","행정동"
"BE_LiST38-0001","교육/예술/종교","문화시설","박물관","","경찰박물관","경찰박물관","","","서울특별시","종로구","사직동"
"BE_LiST38-0002","교육/예술/종교","문화시설","박물관","","국립/고궁박물관","국립고궁박물관","","","서울특별시","종로구","청운효자동"
"BE_LiST38-0003","교육/예술/종교","문화시설","박물관","","국립/중앙박물관","국립중앙박물관","","","서울특별시","용산구","서빙고동"
"BE_LiST38-0004","교육/예술/종교","문화시설","박물관","","대한민국/역사박물관","대한민국역사박물관","","","서울특별시","종로구","사직동"
"BE_LiST38-0005","교육/예술/종교","문화시설","박물관","","도검박물관","도검박물관","","","서울특별시","종로구","평창동"
"BE_LiST38-0006","교육/예술/종교","문화시설","박물관","","매헌윤봉길/의사기념관","매헌윤봉길의사기념관","","","서울특별시","서초구","양재2동"
"BE_LiST38-0007","교육/예술/종교","문화시설","박물관","","명인박물관","명인박물관","","","서울특별시","종로구","가회동"
"BE_LiST38-0008","교육/예술/종교","문화시설","박물관","","몽촌역사관","몽촌역사관","","","서울특별시","송파구","오륜동"
"BE_LiST38-0009","교육/예술/종교","문화시설","박물관","","민속박물관","민속박물관","","","서울특별시","종로구","청운효자동"
"BE_LiST38-0010","교육/예술/종교","문화시설","박물관","","박을복자수/박물관","박을복자수박물관","","","서울특별시","강북구","우이동"
"BE_LiST38-0011","교육/예술/종교","문화시설","박물관","","부엉이박물관","부엉이박물관","","","서울특별시","종로구","삼청동"
"BE_LiST38-0012","교육/예술/종교","문화시설","박물관","","북촌/생활사박물관","북촌생활사박물관","","","서울특별시","종로구","삼청동"
"BE_LiST38-0013","교육/예술/종교","문화시설","박물관","","삼성출판/박물관","삼성출판박물관","","","서울특별시","종로구","평창동"
"BE_LiST38-0014","교육/예술/종교","문화시설","박물관","","상명대학교/박물관","상명대학교박물관","","","서울특별시","종로구","평창동"
"BE_LiST38-0015","교육/예술/종교","문화시설","박물관","","생명과학/박물관","생명과학박물관","","","서울특별시","양천구","목1동"
"BE_LiST38-0016","교육/예술/종교","문화시설","박물관","","서대문/자연사박물관","서대문자연사박물관","","","서울특별시","서대문구","연희동"
"BE_LiST38-0017","교육/예술/종교","문화시설","박물관","","서대문형무소/역사관","서대문형무소역사관","","","서울특별시","서대문구","천연동"
"BE_LiST38-0018","교육/예술/종교","문화시설","박물관","","서울세관/관세박물관","서울세관관세박물관","","","서울특별시","강남구","논현2동"
"BE_LiST38-0019","교육/예술/종교","문화시설","박물관","","세계장신구/박물관","세계장신구박물관","","","서울특별시","종로구","삼청동"
"BE_LiST38-0020","교육/예술/종교","문화시설","박물관","","셀라뮤즈/자기박물관","셀라뮤즈자기박물관","","","서울특별시","종로구","평창동"
"BE_LiST38-0021","교육/예술/종교","문화시설","박물관","","수도박물관","수도박물관","","","서울특별시","성동구","성수1가1동"
"BE_LiST38-0022","교육/예술/종교","문화시설","박물관","","쉼박물관","쉼박물관","","","서울특별시","종로구","부암동"
"BE_LiST38-0023","교육/예술/종교","문화시설","박물관","","실크로드/박물관","실크로드박물관","","","서울특별시","종로구","삼청동"
"BE_LiST38-0024","교육/예술/종교","문화시설","박물관","","어린이민속/박물관","어린이민속박물관","","","서울특별시","종로구","청운효자동"
"BE_LiST38-0025","교육/예술/종교","문화시설","박물관","","영인문학관","영인문학관","","","서울특별시","종로구","평창동"
"BE_LiST38-0026","교육/예술/종교","문화시설","박물관","","외교사전시실","외교사전시실","","","서울특별시","서초구","서초2동"
"BE_LiST38-0027","교육/예술/종교","문화시설","박물관","","전쟁기념관","전쟁기념관","","","서울특별시","용산구","남영동"
