키,명칭,대분류,주소,행정 시,행정 구,행정 동,대표전화,면적,지정일,교?안내
BE_IW14-0020,진관내동 생태경관보전지역,생태탐방,은평구 진관동 282-1번지 일대(북한산국립공원 북한산성 입구 주변 습지 ),서울특별시,은평구,진관동,02-2115-7550~5 02-350-1397,16639㎡,2002년 12월 30일,지하철 3호선 구파발역 1번 출구에서 704번 34번 버스를 타고 북한산성 입구에서 하차 도보 10분
BE_IW14-0109,안산공원,산과공원,서울특별시 서대문구 홍제동 산33번지 일대,서울특별시,서대문구,홍제1동,02-330-1395,,,
BE_IW14-0110,여의도공원,산과공원,서울특별시 영등포구 여의공원로68(여의도동 2번지),서울특별시,영등포구,여의동,02-761-4079,,,
BE_IW14-0111,염창공원,산과공원,서울 강서구 염창동 산24-1,서울특별시,강서구,염창동,02-2600-4186,,,
BE_IW14-0112,영등포공원,산과공원,서울특별시 영등포구 영등포동 582-3번지,서울특별시,영등포구,영등포본동,02-2670-3715~7,,,
BE_IW14-0113,오금공원,산과공원,서울 송파구 오금동 5번지 (오금근린공원 관리사무소 옆),서울특별시,송파구,오금동,02-2137-3380,,,
BE_IW14-0114,오동공원,산과공원,서울 강북구 번동 미아동 일대,서울특별시,강북구,번2동,02-901-6924,,,
BE_IW14-0115,온수공원,산과공원,서울 구로구 궁동 개봉동수궁동온수동오류동일대,서울특별시,구로구,궁동,02-860-2321,,,
BE_IW14-0116,올림픽공원,산과공원,서울 송파구 방이동 88번지,서울특별시,송파구,오륜동,02-410-1683~4,,,
BE_IW14-0117,와룡공원,산과공원,서울특별시 종로구 명륜동3가 산2-14,서울특별시,종로구,무악동,02-731-0461/1650,,,
BE_IW14-0118,와우공원,산과공원,(121-880) 서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),서울특별시,마포구,서강동,02-3153-9553,,,
BE_IW14-0119,외국인묘지공원,산과공원,서울 마포구 합정동 145- 8일대,서울특별시,마포구,합정동,02-332-9175,,,
BE_IW14-0120,용두공원,산과공원,(130-070) 서울특별시 동대문구 용두동 34-1번지 일대,서울특별시,동대문구,용신동,02-2127-4772,,,
BE_IW14-0121,용마공원,산과공원,서울 중랑구 면목동 산 1-4,서울특별시,중랑구,면목4동,02-2094-2340~5,,,
BE_IW14-0122,용산가족공원,산과공원,서울특별시 용산구 서빙고로 185,서울특별시,용산구,용산2가동,02-792-5661,,,
BE_IW14-0123,용왕산근린공원,산과공원,서울 양천구 목동 산12-3일대,서울특별시,양천구,목5동,02-2620-3570,,,
BE_IW14-0124,우면산,산과공원,방배동 산92-1,서울특별시,서초구,방배3동,02-2155-6883,,,
BE_IW14-0125,우장공원,산과공원,서울 강서구 화곡동 산60-1,서울특별시,강서구,우장산동,02-2600-4185,,,
BE_IW14-0126,월드컵공원,산과공원,서울특별시 마포구 월드컵로 243-60(성산동 390-1)일대,서울특별시,마포구,성산2동,02-300-5500~2,,,
BE_IW14-0127,월천근린공원,산과공원,(132-040) 서울특별시 도봉구 창동 28번지,서울특별시,도봉구,창4동,02-2091-3754,,,
BE_IW14-0128,인능산,산과공원,내곡동 산12-404 일원,서울특별시,서초구,내곡동,,,,
BE_IW14-0129,인왕산공원,산과공원,서울특별시 종로구 옥인동 산3-1,서울특별시,종로구,청운효자동,02-731-1458,,,
BE_IW14-0130,일자산 도시자연공원,산과공원,서울 강동구 동남로 660(둔촌동 산 140번지) 일대,서울특별시,강동구,둔촌2동,02-3425-6440,,,
BE_IW14-0131,자매공원,산과공원,서울 영등포구 여의도동 56번지,서울특별시,영등포구,여의동,02-2670-3755,,,
BE_IW14-0132,장지공원,산과공원,서울 송파구 장지동 산 11번지,서울특별시,송파구,장지동,02-2137-3380,,,
BE_IW14-0133,중랑캠핑숲,산과공원,중랑캠핑장(중랑구 망우로 87길 110) / 중랑캠핑숲 공원관리사무소(중랑구 송림길 160),서울특별시,중랑구,망우본동,02-435-7168~9,,,
BE_IW14-0134,중마루공원,산과공원,서울특별시 영등포구 영등포동2가 222,서울특별시,영등포구,영등포동,02-2670-3755,,,
BE_IW14-0135,천마공원,산과공원,서울 송파구 마천동 산 1-1,서울특별시,송파구,마천2동,02-2147-3380,,,
BE_IW14-0136,천마근린공원,산과공원,송파구 마천동 산1-1,서울특별시,송파구,마천2동,,,,
BE_IW14-0137,천호공원,산과공원,서울특별시 강동구 올림픽로 702(천호동360번지),서울특별시,강동구,천호2동,02-489-2776,,,
BE_IW14-0138,청량공원,산과공원,서울 성북구 석관동 산 1-5일대,서울특별시,성북구,석관동,02-920-3395,,,
BE_IW14-0139,초안산근린공원,산과공원,서울 도봉구 창동 산48-4번지 일대,서울특별시,도봉구,창1동,02-2091-3753,,,
BE_IW14-0140,초안산생태공원,산과공원,(132-040) 서울특별시 도봉구 창동 산157번지,서울특별시,도봉구,창1동,02-2091-3753,,,
BE_IW14-0141,탑골공원,산과공원,서울특별시 종로구 종로2가 38-1번지,서울특별시,종로구,종로1.2.3.4가동,02-731-0534/1650,,,
BE_IW14-0142,파리공원,산과공원,서울 양천구 목동 906 번지일대,서울특별시,양천구,목5동,02-2620-3570,,,
BE_IW14-0143,푸른수목원,산과공원,(152-140) 서울특별시 구로구 항동 연동로 240( 구주소 : 항동81-1) 푸른수목원관리사무소,서울특별시,구로구,오류2동,02-2686-3200,,,
BE_IW14-0144,효창공원,산과공원,서울 용산구 효창동 255번지 일대,서울특별시,용산구,효창동,02-2199-7593 02-712-3043,,,
BE_IW14-0145,훈련원공원,산과공원,서울특별시 중구 을지로 227,서울특별시,중구,을지로동,02-2268-5810,,,
BE_IW14-0021,고덕동 생태경관보전지역,생태탐방,강동구 고덕동 396일대(암사정수장~하남시계 구간의 한강수변),서울특별시,강동구,고덕1동,02-2115-7550~5 02-3780-0865~6,320377㎡,2004년 10월 20일(2007년 12월 27일 확대지정),올림픽대로 미사리 방향 하일I.C 500m 이전 강동구 음식물재활용센터 부지로 진입(고덕수변생태복원지)
BE_IW14-0022,청계산원터골 생태경관보전지역,생태탐방,서초구 원지동 산4-38번지 일대(청계산 도시자연공원내 원터골 주변 산림),서울특별시,서초구,양재2동,02-2115-7550~5 02-570-6396,146281㎡,2004년 10월 20일,지하철 3호선 양재역 7번 출구로 나와 4432번 버스를 타고 원터골 입구에서 하차 도보 25분
BE_IW14-0003,청계천하류 철새보호구역,생태탐방,고산자교 ~ 청계천 중랑천 합류부,서울특별시,동대문구,용두동,02-2115-7550~5 02-2290-6851,361316㎡(2.0㎞),2006년 03월 10일,지하철 2호선 신답역 지하철 5호선 마장역에서 도보 5분
BE_IW14-0004,안양천하류 철새보호구역,생태탐방,오목교 ~ 목동교 양안(목동종합운동장 옆),서울특별시,양천구,목동,02-2115-7550~5  02-2650-3590 02-2670-4131,318800㎡(1.0㎞),2007년 05월 10일,지하철 5호선 오목교역에서 안양천방향으로 도보 5분
BE_IW14-0005,불암산삼육대 생태경관보전지역,생태탐방,노원구 공릉동 산223-1번지 일대(삼육대학교 뒷산 서어나무군락),서울특별시,노원구,공릉2동,02-2115-7550~5 02-950-3889,204271㎡,2006년 06월 27일,지하철 1호선 석계역 4번 출구 7호선 태릉입구역 7번 출구로 나와 1155 1156 버스 이용
BE_IW14-0006,창덕궁후원 생태경관보전지역,생태탐방,종로구 와룡동 2-71번지 일대(창덕궁내 옥류천 주변 산림),서울특별시,종로구,종로1.2.3.4가동,02-2115-7550~5 02-731-1460~2 02-762-8261/9513,440707㎡,2006년 06월 27일,지하철 1호선 종로 3가역 6번 출구 지하철 3호선 안국역 3번 출구
BE_IW14-0007,봉산 생태경관보전지역,생태탐방,은평구 신사동 산93-16번지 일대(봉산 도시자연공원내 팥배나무군락),서울특별시,은평구,신사2동,02-2115-7550~5 02-350-1397,73478㎡,2006년 06월 27일,지하철 6호선 증산역 4번 출구에서 은평터널방향 도보 2㎞
BE_IW14-0008,인왕산 생태경관보전지역,생태탐방,서대문구 홍제동 산1-1번지 일대 종로구 옥인동 산3-14 일대,서울특별시,서대문구,홍제2동,02-2115-7550~5 02-731-1460~2 02-330-1395,258098㎡,2007년 12월 27일,지하철 3호선 경복궁역 하차 등산진입로인 사직공원까지 도보로 5분
