"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW17-0102","쇼핑/여가/가정","백화점","백화점 일반","월드면세백화점","월드면세백화점","서울특별시","용산구","남영동"
"BE_IW17-0103","쇼핑/여가/가정","백화점","백화점 일반","잡곡종합백화점","잡곡종합백화점","서울특별시","양천구","신정3동"
"BE_IW17-0104","쇼핑/여가/가정","백화점","백화점 일반","청량리현대코아","청량리현대코아","서울특별시","동대문구","청량리동"
"BE_IW17-0105","쇼핑/여가/가정","백화점","백화점 일반","태평백화점","태평백화점","서울특별시","동작구","사당2동"
"BE_IW17-0106","쇼핑/여가/가정","백화점","백화점 일반","행복한백화점","행복한백화점","서울특별시","양천구","목1동"
"BE_IW17-0107","쇼핑/여가/가정","백화점","신세계백화점","신세계백화점","신세계백화점","서울특별시","중구","명동"
"BE_IW17-0108","쇼핑/여가/가정","백화점","신세계백화점","신세계백화점","신세계백화점","서울특별시","영등포구","영등포동"
"BE_IW17-0109","쇼핑/여가/가정","백화점","신세계백화점","신세계백화점","신세계백화점","서울특별시","서초구","반포4동"
"BE_IW17-0110","쇼핑/여가/가정","백화점","신세계백화점","신세계백화점/신관","신세계백화점신관","서울특별시","중구","명동"
"BE_IW17-0111","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","강남구","대치4동"
"BE_IW17-0112","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","관악구","보라매동"
"BE_IW17-0113","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","노원구","상계2동"
"BE_IW17-0114","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","송파구","잠실3동"
"BE_IW17-0115","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","동대문구","전농1동"
"BE_IW17-0116","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","중구","소공동"
"BE_IW17-0117","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","광진구","자양3동"
"BE_IW17-0118","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","영등포구","영등포본동"
"BE_IW17-0119","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점","롯데백화점","서울특별시","강북구","송중동"
"BE_IW17-0120","쇼핑/여가/가정","백화점","롯데백화점","롯데백화점/김포공항점","롯데백화점김포공항점","서울특별시","강서구","방화2동"
"BE_IW17-0121","쇼핑/여가/가정","백화점","갤러리아백화점","갤러리아백화점/명품관EAST","갤러리아백화점명품관EAST","서울특별시","강남구","압구정동"
"BE_IW17-0122","쇼핑/여가/가정","백화점","갤러리아백화점","갤러리아백화점/명품관WEST","갤러리아백화점명품관WEST","서울특별시","강남구","압구정동"
"BE_IW17-0123","쇼핑/여가/가정","백화점","AK프라자","AK플라자","AK플라자","서울특별시","구로구","구로5동"
"BE_IW17-0124","쇼핑/여가/가정","백화점","현대백화점","현대백화점","현대백화점","서울특별시","강남구","신사동"
"BE_IW17-0125","쇼핑/여가/가정","백화점","현대백화점","현대백화점","현대백화점","서울특별시","강동구","천호2동"
"BE_IW17-0126","쇼핑/여가/가정","백화점","현대백화점","현대백화점","현대백화점","서울특별시","서대문구","신촌동"
"BE_IW17-0127","쇼핑/여가/가정","백화점","현대백화점","현대백화점","현대백화점","서울특별시","양천구","목1동"
"BE_IW17-0128","쇼핑/여가/가정","백화점","현대백화점","현대백화점","현대백화점","서울특별시","강남구","삼성1동"
"BE_IW17-0129","쇼핑/여가/가정","백화점","현대백화점","현대백화점","현대백화점","서울특별시","성북구","길음2동"
"BE_IW17-0130","쇼핑/여가/가정","백화점","현대백화점","현대백화점/유플렉스","현대백화점유플렉스","서울특별시","서대문구","신촌동"
