"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW08-0001","관광/숙박","테마-보호구역","동물원","동물원","동물원","서울특별시","광진구","능동"
"BE_IW08-0002","관광/숙박","테마-보호구역","동물원","세계파충류/공원","세계파충류공원","서울특별시","광진구","능동"
"BE_IW08-0003","관광/숙박","테마-보호구역","동물원","원숭이학교","원숭이학교","서울특별시","강남구","삼성1동"
"BE_IW08-0004","관광/숙박","테마-보호구역","동물원","코끼리동물원","코끼리동물원","서울특별시","광진구","능동"
"BE_IW08-0005","관광/숙박","테마-보호구역","식물원","곤충식물원","곤충식물원","서울특별시","성동구","성수1가1동"
"BE_IW08-0006","관광/숙박","테마-보호구역","식물원","관악산야외식물원","관악산야외식물원","서울특별시","관악구","대학동"
"BE_IW08-0007","관광/숙박","테마-보호구역","식물원","금강난식물원","금강난식물원","서울특별시","강동구","길동"
"BE_IW08-0008","관광/숙박","테마-보호구역","식물원","금란조경/꽃식물원","금란조경꽃식물원","서울특별시","도봉구","방학3동"
"BE_IW08-0009","관광/숙박","테마-보호구역","식물원","남산야외/식물원","남산야외식물원","서울특별시","용산구","후암동"
"BE_IW08-0010","관광/숙박","테마-보호구역","식물원","남산야외/식물원","남산야외식물원","서울특별시","용산구","이태원2동"
"BE_IW08-0011","관광/숙박","테마-보호구역","식물원","미림식물원","미림식물원","서울특별시","서초구","양재1동"
"BE_IW08-0012","관광/숙박","테마-보호구역","식물원","민들레식물원","민들레식물원","서울특별시","서초구","내곡동"
"BE_IW08-0013","관광/숙박","테마-보호구역","식물원","식물원","식물원","서울특별시","광진구","능동"
"BE_IW08-0014","관광/숙박","테마-보호구역","식물원","일광식물원","일광식물원","서울특별시","송파구","오금동"
"BE_IW08-0015","관광/숙박","테마-보호구역","식물원","제일수목원","제일수목원","서울특별시","송파구","오륜동"
"BE_IW08-0016","관광/숙박","테마-보호구역","식물원","청아식물원","청아식물원","서울특별시","서초구","양재2동"
"BE_IW08-0017","관광/숙박","테마-보호구역","식물원","푸른수목원","푸른수목원","서울특별시","구로구","오류2동"
"BE_IW08-0018","관광/숙박","테마-보호구역","식물원","한라식물원","한라식물원","서울특별시","강동구","둔촌2동"
"BE_IW08-0019","관광/숙박","테마-보호구역","식물원","한백식물원","한백식물원","서울특별시","서초구","내곡동"
"BE_IW08-0020","관광/숙박","테마-보호구역","휴양림","산림청과학원/홍릉수목원","산림청과학원홍릉수목원","서울특별시","동대문구","청량리동"
"BE_IW08-0021","관광/숙박","테마-보호구역","휴양림","승화수목원","승화수목원","서울특별시","서초구","내곡동"
