"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","5","150","30","5","145","29","5","142","28.4","0","0","0","0","0","0","15","437","29.1","41","10.7"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","8","219","27.4","8","214","26.8","8","221","27.6","3","23","7.7","0","0","0","27","677","25.1","70","9.7"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","6","180","30","6","169","28.2","6","174","29","0","0","0","0","0","0","18","523","29.1","43","12.2"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","10","237","23.7","10","251","25.1","11","279","25.4","0","0","0","0","0","0","31","767","24.7","61","12.6"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","8","217","27.1","8","195","24.4","8","203","25.4","0","0","0","0","0","0","24","615","25.6","48","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","12","328","27.3","12","331","27.6","12","333","27.8","0","0","0","0","0","0","36","992","27.6","64","15.5"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","9","217","24.1","9","204","22.7","9","213","23.7","2","5","2.5","0","0","0","29","639","22","55","11.6"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","12","323","26.9","12","314","26.2","12","329","27.4","0","0","0","0","0","0","36","966","26.8","71","13.6"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","14","351","25.1","14","321","22.9","14","373","26.6","3","20","6.7","0","0","0","45","1065","23.7","87","12.2"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","13","348","26.8","13","342","26.3","13","363","27.9","3","12","4","0","0","0","42","1065","25.4","87","12.2"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","8","167","20.9","7","167","23.9","8","185","23.1","3","14","4.7","0","0","0","26","533","20.5","54","9.9"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","8","208","26","8","202","25.3","8","214","26.8","0","0","0","0","0","0","24","624","26","47","13.3"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","10","178","17.8","10","190","19","10","217","21.7","3","11","3.7","0","0","0","33","596","18.1","68","8.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","8","203","25.4","8","191","23.9","8","208","26","0","0","0","0","0","0","24","602","25.1","48","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","8","221","27.6","8","204","25.5","8","213","26.6","0","0","0","0","0","0","24","638","26.6","47","13.6"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","8","149","18.6","8","142","17.8","8","174","21.8","0","0","0","0","0","0","24","465","19.4","44","10.6"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","13","362","27.8","13","340","26.2","13","359","27.6","3","18","6","0","0","0","42","1079","25.7","83","13"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","8","261","32.6","8","237","29.6","8","209","26.1","0","0","0","0","0","0","24","707","29.5","50","14.1"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","7","114","16.3","7","127","18.1","7","149","21.3","0","0","0","0","0","0","21","390","18.6","50","7.8"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","10","265","26.5","10","253","25.3","10","259","25.9","3","18","6","0","0","0","33","795","24.1","67","11.9"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","9","223","24.8","9","221","24.6","9","237","26.3","0","0","0","0","0","0","27","681","25.2","53","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","9","246","27.3","9","222","24.7","9","244","27.1","3","13","4.3","0","0","0","30","725","24.2","57","12.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","8","203","25.4","8","207","25.9","8","216","27","3","14","4.7","0","0","0","27","640","23.7","56","11.4"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","9","244","27.1","9","234","26","9","241","26.8","3","11","3.7","0","0","0","30","730","24.3","51","14.3"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000391","광남고등학교","04","공립","N","","14","362","25.9","14","347","24.8","14","360","25.7","0","0","0","0","0","0","42","1069","25.5","88","12.1"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000392","광문고등학교","04","사립","N","","13","351","27","13","345","26.5","13","337","25.9","0","0","0","0","0","0","39","1033","26.5","75","13.8"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000393","광성고등학교","04","사립","N","","10","225","22.5","10","234","23.4","10","247","24.7","0","0","0","0","0","0","30","706","23.5","59","12"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000394","광신고등학교","04","사립","N","","8","182","22.8","8","157","19.6","8","168","21","0","0","0","0","0","0","24","507","21.1","48","10.6"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000395","광양고등학교","04","공립","N","","7","176","25.1","7","134","19.1","7","157","22.4","3","13","4.3","0","0","0","24","480","20","45","10.7"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000396","광영고등학교","04","사립","N","","12","290","24.2","12","242","20.2","12","300","25","0","0","0","0","0","0","36","832","23.1","69","12.1"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000397","광영여자고등학교","04","사립","N","","12","281","23.4","12","248","20.7","12","266","22.2","0","0","0","0","0","0","36","795","22.1","69","11.5"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000398","구로고등학교","04","공립","N","","11","303","27.5","11","294","26.7","11","295","26.8","0","0","0","0","0","0","33","892","27","71","12.6"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000399","구일고등학교","04","공립","N","","9","235","26.1","9","230","25.6","10","239","23.9","0","0","0","0","0","0","28","704","25.1","55","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000400","압구정고등학교","04","공립","N","","9","193","21.4","9","178","19.8","9","197","21.9","0","0","0","0","0","0","27","568","21","63","9"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000401","금옥여자고등학교","04","공립","N","","9","237","26.3","9","228","25.3","9","223","24.8","3","11","3.7","0","0","0","30","699","23.3","56","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000402","금천고등학교","04","공립","N","","9","231","25.7","9","206","22.9","9","222","24.7","3","17","5.7","0","0","0","30","676","22.5","57","11.9"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000403","남강고등학교","04","사립","N","","10","222","22.2","10","196","19.6","10","206","20.6","0","0","0","0","0","0","30","624","20.8","58","10.8"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000404","노원고등학교","04","공립","N","","8","176","22","8","174","21.8","8","182","22.8","1","5","5","0","0","0","25","537","21.5","53","10.1"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000405","단국대학교사범대학부속고등학교","04","사립","N","","13","361","27.8","13","345","26.5","13","380","29.2","0","0","0","0","0","0","39","1086","27.8","73","14.9"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000406","당곡고등학교","04","공립","N","","9","240","26.7","9","236","26.2","9","238","26.4","0","0","0","0","0","0","27","714","26.4","62","11.5"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000407","대광고등학교","04","사립","N","","8","276","34.5","8","233","29.1","10","289","28.9","0","0","0","0","0","0","26","798","30.7","62","12.9"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000408","대성고등학교","04","사립","N","","11","273","24.8","11","268","24.4","11","293","26.6","0","0","0","0","0","0","33","834","25.3","64","13"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000409","대신고등학교","04","사립","N","","8","119","14.9","8","118","14.8","8","151","18.9","0","0","0","0","0","0","24","388","16.2","46","8.4"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000410","대영고등학교","04","공립","N","","9","243","27","9","253","28.1","9","245","27.2","3","18","6","0","0","0","30","759","25.3","51","14.9"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000411","대원고등학교","04","사립","N","","9","244","27.1","9","227","25.2","10","252","25.2","0","0","0","0","0","0","28","723","25.8","55","13.1"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000412","대원여자고등학교","04","사립","N","","9","234","26","9","213","23.7","9","234","26","0","0","0","0","0","0","27","681","25.2","53","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000413","대일고등학교","04","사립","N","","13","323","24.8","13","312","24","13","335","25.8","0","0","0","0","0","0","39","970","24.9","75","12.9"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000414","대진고등학교","04","사립","N","","12","250","20.8","12","258","21.5","13","314","24.2","0","0","0","0","0","0","37","822","22.2","72","11.4"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000415","대진여자고등학교","04","사립","N","","13","272","20.9","13","273","21","13","329","25.3","0","0","0","0","0","0","39","874","22.4","75","11.7"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000416","대진디자인고등학교","04","사립","N","","9","187","20.8","9","181","20.1","9","191","21.2","0","0","0","0","0","0","27","559","20.7","63","8.9"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000417","덕성여자고등학교","04","사립","N","","9","199","22.1","9","199","22.1","9","206","22.9","0","0","0","0","0","0","27","604","22.4","55","11"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000418","덕원여자고등학교","04","사립","N","","14","319","22.8","14","286","20.4","14","357","25.5","0","0","0","0","0","0","42","962","22.9","81","11.9"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000419","독산고등학교","04","공립","N","","8","192","24","8","169","21.1","8","184","23","3","20","6.7","0","0","0","27","565","20.9","53","10.7"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000420","동국대학교사범대학부속고등학교","04","사립","N","","11","305","27.7","11","305","27.7","11","305","27.7","0","0","0","0","0","0","33","915","27.7","62","14.8"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000421","동덕여자고등학교","04","사립","N","","13","301","23.2","13","269","20.7","13","322","24.8","0","0","0","0","0","0","39","892","22.9","75","11.9"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000422","동명여자고등학교","04","사립","N","","12","278","23.2","12","268","22.3","12","311","25.9","3","14","4.7","0","0","0","39","871","22.3","70","12.4"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000423","동북고등학교","04","사립","N","","13","337","25.9","13","314","24.2","14","359","25.6","0","0","0","0","0","0","40","1010","25.3","82","12.3"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000424","동성고등학교","04","사립","N","","9","185","20.6","9","164","18.2","9","241","26.8","0","0","0","0","0","0","27","590","21.9","55","10.7"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000425","동일여자고등학교","04","사립","N","","9","207","23","10","196","19.6","10","204","20.4","0","0","0","0","0","0","29","607","20.9","57","10.6"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000426","서울매그넷고등학교","04","사립","N","","9","141","15.7","10","189","18.9","12","244","20.3","0","0","0","0","0","0","31","574","18.5","63","9.1"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000427","동작고등학교","04","공립","N","","9","221","24.6","9","224","24.9","9","226","25.1","3","14","4.7","0","0","0","30","685","22.8","55","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000428","둔촌고등학교","04","공립","N","","9","220","24.4","9","192","21.3","9","215","23.9","3","17","5.7","0","0","0","30","644","21.5","62","10.4"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000429","마포고등학교","04","사립","N","","10","262","26.2","10","237","23.7","10","272","27.2","0","0","0","0","0","0","30","771","25.7","57","13.5"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000430","면목고등학교","04","공립","N","","8","205","25.6","8","186","23.3","8","189","23.6","3","11","3.7","0","0","0","27","591","21.9","51","11.6"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000431","명덕고등학교","04","사립","N","","10","254","25.4","10","233","23.3","10","256","25.6","0","0","0","0","0","0","30","743","24.8","58","12.8"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000432","명덕여자고등학교","04","사립","N","","13","340","26.2","13","318","24.5","14","344","24.6","0","0","0","0","0","0","40","1002","25.1","80","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000433","동국대학교사범대학부속여자고등학교","04","사립","N","","9","228","25.3","9","178","19.8","9","200","22.2","0","0","0","0","0","0","27","606","22.4","58","10.4"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000434","명일여자고등학교","04","공립","N","","9","198","22","9","169","18.8","8","169","21.1","3","14","4.7","0","0","0","29","550","19","57","9.6"
