"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","교육부","서울특별시 성북구","S000003514","서울대학교사범대학부설중학교","03","국립","N","","8","185","23.1","8","167","20.9","8","227","28.4","1","3","3","0","0","0","25","582","23.3","50","11.6"
"서울특별시교육청","교육부","서울특별시 종로구","S000003562","서울대학교사범대학부설여자중학교","03","국립","N","","6","99","16.5","6","119","19.8","6","137","22.8","1","7","7","0","0","0","19","362","19.1","44","8.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000698","개원중학교","03","공립","N","","9","249","27.7","9","253","28.1","9","270","30","3","16","5.3","0","0","0","30","788","26.3","49","16.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000700","경원중학교","03","공립","N","","12","322","26.8","11","357","32.5","11","342","31.1","1","1","1","0","0","0","35","1022","29.2","65","15.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000701","구룡중학교","03","공립","N","","9","213","23.7","8","267","33.4","10","337","33.7","1","7","7","0","0","0","28","824","29.4","54","15.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000702","압구정중학교","03","공립","N","","5","133","26.6","6","156","26","6","145","24.2","0","0","0","0","0","0","17","434","25.5","34","12.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000704","단국대학교사범대학부속중학교","03","사립","N","","6","207","34.5","6","205","34.2","6","202","33.7","0","0","0","0","0","0","18","614","34.1","29","21.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000705","대명중학교","03","공립","N","","10","327","32.7","10","336","33.6","10","339","33.9","0","0","0","0","0","0","30","1002","33.4","54","18.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000706","대왕중학교","03","공립","N","","9","284","31.6","9","315","35","9","300","33.3","1","4","4","0","0","0","28","903","32.3","49","18.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000707","대청중학교","03","공립","N","","11","354","32.2","10","334","33.4","11","376","34.2","0","0","0","0","0","0","32","1064","33.3","58","18.3"
