대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
100003,가루전병,복합식품,부식,구이류,전,1
100004,가물치국,복합식품,부식,국류,토장국,3
100005,가물치회,복합식품,부식,회류,생회,5
100009,가시연꽃열매,단일식품,조미식,양념류,양념류,1
100010,가시연밥,복합식품,주식,밥류,기타,9
100016,가오리어채,복합식품,부식,회류,기타,1
100017,가이주,복합식품,주류,기타,기타,1
100018,가자미,단일식품,기타,기타,기타,1
100019,가자미국,복합식품,부식,국류,기타,1
100020,가자미젓,복합식품,부식,젓갈류,발효젓,2
100021,가자미조림,복합식품,부식,찜류,조림,1
100022,가자미찌개,복합식품,부식,전골류,찌개,1
100024,가지,단일식품,기타,기타,기타,2
100028,가지국,복합식품,부식,국류,맑은장국,2
100029,가지김치,복합식품,부식,김치,야채김치,13
100030,가지나물,복합식품,부식,나물류,숙채,9
100031,가지누르미,복합식품,부식,구이류,구이,1
100033,가지말림,단일식품,기타,기타,기타,2
100034,가지선,복합식품,부식,찜류,선,4
100035,가지장,복합식품,조미식,장류,기타,1
100037,가지장아찌,복합식품,부식,장아찌류,장아찌,10
100039,가지전,복합식품,부식,구이류,전,2
100040,가지절임,복합식품,기타,기타,기타,12
100041,가지조림,복합식품,기타,기타,기타,5
100042,가지지,복합식품,기타,기타,기타,4
100043,가지지게미,복합식품,기타,기타,기타,2
100044,가지지게미절임,복합식품,기타,기타,기타,7
100047,가지찜,단일식품,부식,찜류,찜,9
100050,가집장,복합식품,조미식,장류,기타,1
100051,가짜장,복합식품,조미식,장류,기타,1
100052,가초선,복합식품,부식,회류,생회,1
100053,가화육,복합식품,부식,회류,생회,1
100054,간,단일식품,부식,찜류,볶음,1
100055,간구이,복합식품,기타,기타,기타,3
100057,간무침,복합식품,부식,장아찌류,기타,1
100058,간볶음,복합식품,부식,찜류,볶음,2
100060,간장,복합식품,조미식,장류,간장,18
100061,간장게장,복합식품,부식,젓갈류,발효젓,4
100062,간장구이,복합식품,부식,구이류,구이,1
100064,간전,복합식품,부식,구이류,전유어,11
100066,간조림,복합식품,부식,찜류,조림,1
100067,간회,복합식품,부식,회류,기타,1
100068,갈근,단일식품,기타,기타,기타,2
100069,갈근시루떡,복합식품,기호식,떡류,찐떡,1
100070,갈대가루면,복합식품,주식,면류,국수,1
100071,갈대잎찰밥,복합식품,주식,밥류,흰밥,1
100072,갈분국,복합식품,주식,면류,국수,1
100074,갈분다식,복합식품,기호식,한과류,다식,1
100075,갈분사면화채,복합식품,주식,면류,국수,1
100076,갈분응이,복합식품,주식,죽류,응이,7
100078,갈비구이,복합식품,부식,구이류,구이,8
100081,갈비숙회,복합식품,부식,회류,기타,1
100083,갈비찜,복합식품,부식,찜류,찜,13
100084,갈비탕,복합식품,부식,국류,탕류,9
100086,갈치젓,복합식품,부식,젓갈류,발효젓,1
100087,갈치조림,복합식품,부식,찜류,조림,2
100088,감,단일식품,기타,기타,기타,3
100090,감국,복합식품,기타,기타,기타,3
100091,감국나물,복합식품,부식,나물류,숙채,2
100092,감국싹죽,복합식품,주식,죽류,죽,1
100093,감국잎,단일식품,조미식,양념류,고명류,1
100094,감국전,복합식품,부식,구이류,전,1
100096,귤,단일식품,기타,기타,기타,7
100098,귤정과,복합식품,기호식,한과류,정과,5
100100,감꼭지,단일식품,조미식,양념류,양념류,1
