MAPIDX,STORENAME,WHICHCVS,ADDRESS
1,우리들북구청점,C·SPACE,울산 북구 무룡로 29 (연암동)
2,초읍점,C·SPACE,부산 부산진구 월드컵대로474번길 23 (초읍동)
3,부산송도점,C·SPACE,부산 서구 충무대로 80 (암남동)
4,서생점,C·SPACE,울산 울주군 서생면 나사해안길 5-16
5,꽃바위점,C·SPACE,"울산 동구 문현1길 37, 상가동1호(방어동, 정림아파트)"
6,우리들공업탑점,C·SPACE,울산 남구 수암로 21 (신정동)
7,가산본점,C·SPACE,서울 금천구 가산디지털1로 45
8,나인힐스점,C·SPACE,경기 용인시 처인구 보개원삼로 1372번길 41
9,부천내동점,C·SPACE,경기 부천시 수도로 149 (내동)
10,횡성역점,C·SPACE,강원 횡성군 횡성읍 덕고로 591
11,그린24홍성점,C·SPACE,충남 홍성군 홍성읍 의사로64
12,방아실점,C·SPACE,충북 옥천군 군북면 방아실길 83
13,한강로3가점,C·SPACE,서울 용산구 한강대로17길 24 (한강로3가)
14,논산내동점,C·SPACE,충남 논산시 논산대로 306-6 (내동)
15,대전대동점,C·SPACE,대전 동구 동대전로 126 (대동)
16,고덕삼성점,C·SPACE,경기 평택시 고덕여염로 54 (고덕동)
17,고덕점,C·SPACE,경기 평택시 경기대로 1084-5 (장당동)
18,고향점,C·SPACE,충북 충주시 신니면 송암리583
19,공주교대점,C·SPACE,충남 공주시 제민천2길 22 (금학동)
20,현충사점,C·SPACE,충남 아산시 염치읍 현충사길93번길 1
21,금강대점,C·SPACE,충남 논산시 상월면 상월로 522
22,숭의스타점,C·SPACE,"인천 미추홀구 인중로 25 (숭의동, 썬에이스빌 아파트)"
23,반포공원점,C·SPACE,서울 서초구 사평대로55길 123 (반포동)
24,사송더샵데시앙점,C·SPACE,경남 양산시 동면 내송큰들로 141
25,북삼인평점,C·SPACE,경북 칠곡군 북삼읍 인강5길 52
26,김천실내체육관점,C·SPACE,경북 김천시 운동장길 1
27,로또카페점,C·SPACE,경남 김해시 덕정로 158
28,남문시장점,C·SPACE,대구 중구 명륜로12길 1
29,김천혁신점,C·SPACE,경북 김천시 해오름1로1길 12
30,송정바다점,C·SPACE,부산 해운대구 송정중앙로9번길 16
31,구미야은로점,C·SPACE,경북 구미시 야은로 382
32,영천한방로점,C·SPACE,경북 영천시 한방로 221
33,사천용현점,C·SPACE,경남 사천시 용현면 석거리길 26
34,충대서문점,C·SPACE,대전 유성구 죽동로279번길 38 (죽동)
