NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),지질-가식부 100g당,탄수화물(g),총 식이섬유(g),칼슘(㎎),철(㎎),인(㎎),셀레늄(㎍),레티놀(㎍),레티놀A효능,비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),비타민 C(㎎),총 아미노산(g),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),트립토판(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),타우린(㎎),글리신 베타인(㎎),호마린(㎎),트리고넬린(㎎),리보핵산(㎎),데옥시리보핵산(㎎),냉산가용성물질(㎎),회분(g),성분표출처,발행기관
1,N000001-ZZ-AVG,N000001,수산물,품목대표,가다랑어,2018,전국(대표),평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.5,44.7,-,91.5,36.4,360.9,-,수('2018),국립수산과학원
2,N000001-33-04,N000001,수산물,품목대표,가다랑어,2018,부산,4월,수산물,어류,100,g,-,-,24.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.9,1160,1866,2125,685,994,1134,324,1292,1451,1649,941,287,1603,1772,3684,1101,670,935,299,-,-,-,-,-,-,-,수('2018),국립수산과학원
3,N000001-33-02,N000001,수산물,품목대표,가다랑어,2018,부산,2월,수산물,어류,100,g,127,70.3,25.9,1.8,-,0.3,0,15,1.8,40,-,12,40,0.21,0.17,15.3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,수('2018),국립수산과학원
4,N000001-04-05,N000001,수산물,품목대표,가다랑어,2018,고성,5월,수산물,어류,100,g,-,-,-,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
5,N000002-33-11,N000002,수산물,품목대표,가다랑어-간,2018,부산,11월,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,4.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
6,N000003-33-04,N000003,수산물,품목대표,가다랑어-내장,2018,부산,4월,수산물,어류,100,g,-,-,17.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.3,836,1502,1176,535,734,756,273,1064,557,1018,687,216,1157,1558,2385,925,747,613,591,-,-,-,-,-,-,-,수('2018),국립수산과학원
7,N000004-70-06,N000004,수산물,품목대표,가다랑어-레토르트식품(기름담금),2018,"통영,알래스카산",6월,수산물,수산가공품,100,g,175,68.6,12.4,9.9,-,7.5,-,14,2.3,-,-,-,-,-,0.03,6.9,-,11.1,496,821,936,117,428,520,910,553,885,592,329,32,628,1192,1495,271,438,434,37,-,-,-,-,-,-,1.6,수('2018),국립수산과학원
8,N000005-70-06,N000005,수산물,품목대표,가다랑어-레토르트식품(조미),2018,"통영,알래스카산",6월,수산물,수산가공품,100,g,-,-,6.9,-,7.3,-,-,-,-,-,-,-,-,-,-,-,-,6.6,286,485,504,3,254,306,264,325,491,329,176,10,387,785,1267,171,248,259,28,-,-,-,-,-,-,-,수('2018),국립수산과학원
9,N000006-33-11,N000006,수산물,품목대표,가다랑어-보통육,2018,부산,11월,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
10,N000006-33-04,N000006,수산물,품목대표,가다랑어-보통육,2018,부산,4월,수산물,어류,100,g,-,-,27.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.1,1334,2123,2339,865,1391,1014,356,1570,599,2201,1113,342,1669,2505,4005,1178,851,839,841,-,-,-,-,-,-,-,수('2018),국립수산과학원
11,N000007-33-04,N000007,수산물,품목대표,가다랑어-알,2018,부산,4월,수산물,어류,100,g,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,1313,2276,1796,744,1094,1004,347,1620,644,2019,1211,328,1717,1878,3174,853,1427,1089,529,-,-,-,-,-,-,-,수('2018),국립수산과학원
12,N000008-70-06,N000008,수산물,품목대표,가다랑어-통조림(기름담금),2018,"통영,알래스카산",6월,수산물,수산가공품,100,g,209,64.9,20,13.1,-,0.3,-,46,2.3,0,-,0,-,0,0.04,12,-,19.5,930,1589,1835,103,825,996,260,1029,1775,1095,639,39,1191,2407,2856,462,585,846,78,-,-,-,-,-,-,1.7,수('2018),국립수산과학원
13,N000009-70-06,N000009,수산물,품목대표,가다랑어-포,2018,"통영,알래스카산",6월,수산물,수산가공품,100,g,372,18,69.3,7.7,7.7,1.6,-,16,1.6,0,-,0,-,0,0.5,27.5,-,66.6,3306,5688,5176,2208,2965,3385,1296,3683,4124,4011,2589,301,4374,6777,9735,1671,2532,2764,468,-,-,-,-,-,-,3.4,수('2018),국립수산과학원
14,N000010-ZZ-AVG,N000010,수산물,품목대표,가다랑어-혈합육,2018,전국(대표),평균,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,85.9,285.7,-,수('2018),국립수산과학원
15,N000010-33-11,N000010,수산물,품목대표,가다랑어-혈합육,2018,부산,11월,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,1.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
16,N000010-33-04,N000010,수산물,품목대표,가다랑어-혈합육,2018,부산,4월,수산물,어류,100,g,-,-,23.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.9,1103,2137,1877,710,1089,916,324,1237,561,1667,856,260,1530,2030,3146,903,888,671,1018,-,-,-,-,-,-,-,수('2018),국립수산과학원
17,N000011-45-06,N000011,수산물,품목대표,가라지,2018,여수,6월,수산물,어류,100,g,78,81.5,14.8,1.3,1.3,0.7,-,35,1.7,-,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,수('2018),국립수산과학원
18,N000012-33-02,N000012,수산물,품목대표,가래상어,2018,부산,2월,수산물,어류,100,g,99,75.5,22.2,0.5,-,0.1,-,59,0.7,15,-,5,15,0.12,0.14,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,수('2018),국립수산과학원
19,N000013-80-AVG,N000013,수산물,품목대표,가무락조개,2018,강화,평균,수산물,패류,100,g,-,-,-,-,-,-,-,-,-,-,0.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
20,N000013-79-AVG,N000013,수산물,품목대표,가무락조개,2018,강화도,평균,수산물,패류,100,g,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
21,N000013-33-10,N000013,수산물,품목대표,가무락조개,2018,부산,10월,수산물,패류,100,g,77,79.9,14.1,0.6,-,2.8,0,54,2.4,40,-,9,40,0.05,0.26,1.8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,수('2018),국립수산과학원
22,N000013-33-07,N000013,수산물,품목대표,가무락조개,2018,부산,7월,수산물,패류,100,g,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.6,423,738,727,380,399,407,100,492,342,994,409,142,604,939,1508,531,313,369,797,-,-,-,-,-,-,-,수('2018),국립수산과학원
23,N000014-33-11,N000014,수산물,품목대표,가물치,2018,부산,11월,수산물,어류,100,g,-,-,-,-,-,-,-,-,-,-,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
24,N000014-33-07,N000014,수산물,품목대표,가물치,2018,부산,7월,수산물,어류,100,g,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
25,N000014-33-03,N000014,수산물,품목대표,가물치,2018,부산,3월,수산물,어류,100,g,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.3,997,1689,1825,730,867,771,194,1021,363,1478,799,231,1155,1933,3012,886,601,597,205,-,-,-,-,-,-,-,수('2018),국립수산과학원
26,N000014-26-AVG,N000014,수산물,품목대표,가물치,2018,대전,평균,수산물,어류,100,g,86,79.6,18.2,0.8,-,0.3,0,71,1.1,30,-,10,30,0.08,0.12,7.7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,수('2018),국립수산과학원
27,N000015-33-06,N000015,수산물,품목대표,가숭어,2018,부산,6월,수산물,어류,100,g,-,-,18.5,-,8,-,-,-,-,-,-,-,-,-,-,-,-,18.4,928,1643,1643,480,875,874,370,983,594,1146,662,101,1187,2087,2911,469,665,771,0,-,-,-,-,-,-,-,수('2018),국립수산과학원
28,N000016-33-08,N000016,수산물,품목대표,가시망둑,2018,부산,8월,수산물,어류,100,g,101,75.4,22.4,0.7,-,0.001,0,46,1.7,20,-,6,20,0.05,0.12,2.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,수('2018),국립수산과학원
29,N000017-33-05,N000017,수산물,품목대표,가시발새우,2018,부산,5월,수산물,갑각류,100,g,71,81.7,15.2,0.5,0.5,0.6,-,196,7.4,0,0.22,0,0,0.02,0.04,2.4,-,12.2,548,973,1051,366,537,483,171,556,265,1186,409,183,644,1008,2091,818,375,451,182,-,-,-,-,-,-,2,수('2018),국립수산과학원
30,N000018-ZZ-AVG,N000018,수산물,품목대표,가시베도라치,2018,전국(대표),평균,수산물,어류,100,g,-,-,-,-,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
31,N000018-72-05,N000018,수산물,품목대표,가시베도라치,2018,포항,5월,수산물,어류,100,g,85,80.7,15.7,1.6,-,0.8,-,36,0.1,0,0.02,0,-,0,0,0,-,16.1,778,1400,1427,542,733,810,324,819,366,542,630,838,1043,1726,2688,63,596,812,0,-,-,-,-,-,-,1.2,수('2018),국립수산과학원
