NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),총 식이섬유(g),칼슘(㎎),철(㎎),철(㎍),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍),레티놀(㎍),베타카로틴(㎍),비타민 D3(㎍),토코페롤(㎎),토코트리에놀(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),비타민 C(㎎),총 아미노산(㎎),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),콜레스테롤(㎎),총 포화 지방산(g),부티르산(4:0)(g),카프로산(6:0)(g),카프릴산(8:0)(g),카프르산(10:0)(g),라우르산(12:0)(g),미리스트산(14:0)(g),팔미트산(16:0)(g),스테아르산(18:0)(g),아라키드산(20:0)(g),미리스톨레산(14:1)(g),팔미톨레산(16:1)(g),올레산(18:1(n-9))(g),박센산(18:1(n-7))(g),가돌레산(20:1)(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),감마 리놀렌산(18:3(n-6))(g),에이코사디에노산(20:2(n-6))(g),아라키돈산(20:4(n-6))(g),에이코사트리에노산(20:3(n-6))(g),에이코사펜타에노산(20:5(n-3))(g),도코사펜타에노산(22:5(n-3))(g),도코사헥사에노산(22:6(n-3))(g),트랜스 지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 리놀레산(18:2t)(g),트랜스 리놀렌산(18:3t)(g),회분(g),카페인(㎎),성분표출처,발행기관
1,D000006-94-AVG,D000006,음식,품목대표,꿩불고기,2019,충주,평균,구이류,육류구이,500,g,-,-,368.8,412.6,33.5,8.5,39.7,16.9,7.2,2.8,2.8,0.7,3.5,9.8,105.61,-,4,85.39,458.05,1243.12,1264.31,3.99,0.32,0.68,47.55,0,1424.58,-,8.73,0.06,0,0.33,3.61,63.13,0,2.99,-,1284.38,2328.6,2484.75,645.19,1274.93,1410.84,1367.69,848.54,2205.58,919.81,276.5,1642.38,2781.77,4784.61,1419.92,1092.3,1264.96,106.18,1.9,0,0,0,0,0.01,0.03,1.28,0.53,0.03,0,0.08,2.31,0.11,0.03,3.24,0.66,0.02,0.01,0,0.14,0,0,0.02,0.1,0.02,0.05,0,5.8,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
2,D000007-ZZ-AVG,D000007,음식,품목대표,닭갈비,2019,전국(대표),평균,구이류,육류구이,400,g,-,-,595.61,276.4,45.9,25.8,44.9,21.2,3.6,5.9,4.8,0,6.9,11.6,98.64,-,3.38,104.42,505.25,1200.24,1535.83,3.55,0.34,0.97,57.56,38.61,2133.37,-,6.82,0.04,0.24,0.37,1.23,108.13,1.12,5.54,-,1796.24,3245.4,3593.31,878.04,1830.14,2019.94,1966.31,1198.58,2851.72,1310.51,307.73,2465.2,4361.76,7778.84,2230.08,1865.82,1833.39,193.4,6,0,0,0,0,0.03,0.18,4.48,1.27,0.03,0.05,1.29,8.12,0.46,0.08,4.85,0.44,0.02,0.03,0.04,0.13,0.01,0.02,0.01,0.2,0.08,0.06,0.01,7,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
3,D000008-66-AVG,D000008,음식,품목대표,닭갈비,2019,춘천,평균,구이류,육류구이,300,g,-,-,558.47,195.4,45.5,31.6,23.1,8.5,0.6,3.2,3.2,0,1.5,6.6,63.06,-,2.5,77.07,421.66,818.11,1016.94,3.59,0.24,0.41,51.18,75.14,493.75,-,3.58,0.23,0.22,0.38,2.96,57.96,0,0,-,1573.22,3050.3,3210.69,970.59,1783.35,1873.14,1707.21,1133.53,2818.65,1287.48,291.02,2198.62,3873,6674.57,2274.24,1743.26,1763.98,217.67,11.3,0,0,0,0.01,0.07,0.35,8.66,2.14,0.04,0.11,2.23,13.86,0.77,0.14,5.43,0.39,0.06,0.05,0.05,0.16,0.01,0.02,0.02,0.3,0.14,0.08,0.03,4.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
4,D000009-ZZ-AVG,D000009,음식,품목대표,닭꼬치,2019,전국(대표),평균,구이류,육류구이,70,g,-,-,176.72,35.31,11.56,8.57,13.35,3.15,0.11,0.82,1.64,0,0.59,2.07,17.68,-,7.64,0,122.8,152.66,286.91,0,0,0,0,14.75,46.1,-,0,0,0.23,0.18,1.71,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,31.44,2.32,0,0,0,0,0,0.1,1.8,0.5,0,0,0.4,3.3,0.2,0,1.9,0.2,0,0,0,0,0,0,0,0.04,0,0,0,1.22,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
5,D000010-ZZ-AVG,D000010,음식,품목대표,더덕구이,2019,전국(대표),평균,구이류,채소류구이,100,g,-,-,184,58.1,3.1,5.2,31.1,11.6,2.2,2.7,1.5,0,5.1,6.8,46.42,-,1.43,38.21,88.17,262.44,743.37,0.59,0.13,0.42,0,0,481.44,-,3.89,1.47,0.23,0.08,0.18,16.77,0,1.34,-,69.84,126.53,90.72,16.36,82.78,70.97,87.91,44.56,457.03,33.86,9.73,91.19,203.15,620.8,83.58,117.2,83.49,0.12,0.8,0,0,0,0,0,0,0.5,0.2,0,0,0,1.3,0.1,0,2.3,0.4,0,0,0,0,0,0,0,0,0,0,0,2.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
6,D000011-ZZ-AVG,D000011,음식,품목대표,도미구이,2019,전국(대표),평균,구이류,어패류구이,250,g,-,-,397,163.3,61.1,16.5,2.1,0,0,0,0,0,0,5.9,158.8,-,0.97,120.37,690.91,1108.02,1582.17,1.45,0.06,0.06,281.39,65.65,2.3,-,3.76,0,0.1,0.27,6.35,37.98,7.45,0.84,-,2139.19,4277.88,4920.98,1725.16,2222.94,2583.86,2388.48,1351.76,3926.03,1958.54,481.77,3337.83,5706.62,8361.83,3076.27,2060.24,2382.06,211.24,3.8,0,0,0,0,0,0.4,2.5,0.8,0.1,0,0.6,2.9,0.4,0.2,1.9,0.3,0,0,0.1,0.2,0.6,0.3,1.6,0.1,0,0,0.1,7,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
7,D000012-95-AVG,D000012,음식,품목대표,돼지갈비,2019,서울특별시 마포구,평균,구이류,육류구이,100,g,-,-,240.32,56.3,19.5,14.4,8.1,4.5,2.5,0.6,0.6,0,0.9,0.3,47.21,-,0.92,20.74,156.16,280.71,404.66,2.75,0.07,0.1,41.24,3.07,1.89,-,0.61,0.03,0.31,0.14,0.17,5.37,0,0,-,777.85,1602.98,1661.04,494.14,839.22,899.55,958.75,568.6,1234.03,628.31,169.61,1267.68,1824.93,3436.64,1079.38,782.67,781.81,49.34,4.7,0,0,0,0.01,0.02,0.19,2.95,1.54,0.02,0,0.27,4.58,0.34,0.09,1.72,0.07,0,0.06,0.02,0.08,0,0.01,0,0.1,0.04,0.02,0,1.6,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
8,D000015-ZZ-AVG,D000015,음식,품목대표,병어구이,2019,전국(대표),평균,구이류,어패류구이,250,g,-,-,488,157.7,54.6,30.8,0.2,0,0,0,0,0,0,0.7,80.44,-,0.75,118.57,627.82,984.65,1567.94,1.91,0.06,0.07,224.19,60.74,0,-,3.72,0.01,0.12,0.21,4.38,38.25,7.73,1.41,-,2073.86,3990.88,4545.39,1585.12,1997.02,2355.61,2244.34,1171.23,3439.47,1850.54,373.21,2994.99,5186.07,7875.28,2683.86,1881.09,2237.35,198.51,8.9,0,0,0,0,0,1.1,6.1,1.6,0.1,0,1.2,6.8,0.6,0.6,2,0.3,0.1,0.1,0.3,0.3,1.3,0.8,3.3,0.2,0.1,0.1,0.1,6.7,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
9,D000016-96-AVG,D000016,음식,품목대표,불고기,2019,광양,평균,구이류,육류구이,150,g,-,-,395.29,80.1,34.4,25.2,7.8,7.9,7.3,0.3,0.3,0,0,1.2,12.31,-,3.63,36.22,300.71,580.55,560.71,9.74,2.06,0.1,49.08,6.51,22.59,-,2.7,0.11,0.08,0.24,2.26,10.23,0,0,-,1345.99,2748.19,3038.99,848.34,1437.93,1516.13,1604.5,1070.87,2402.03,1067.81,302.29,2159.1,3179.81,5754.03,1899.55,1357.56,1374.35,68.85,6.6,0,0,0,0.01,0.01,0.41,4.01,2.08,0.04,0.07,0.49,7.44,0.23,0.04,3.11,0.08,0.01,0.01,0.03,0.08,0.01,0.03,0,0.4,0.26,0.16,0.01,2.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
10,D000017-05-AVG,D000017,음식,품목대표,붕장어소금구이,2019,고흥,평균,구이류,어패류구이,100,g,-,-,296.54,44.3,26,16.2,11.6,0.4,0,0,0.3,0,0,1,164.09,-,0.24,37.38,345.83,544.71,124.75,1.44,0.03,0.15,145.28,438.72,2.16,-,3.46,0,0,0.11,0.47,12.64,0,0,-,1041.45,2033.04,2324.92,774.73,1045.63,1173.85,1186,708.33,1998.64,852.9,220.71,1817.95,2570.29,4045.03,2033.39,1168.12,1155.52,167.07,3.6,0,0,0,0,0.01,0.63,2.49,0.44,0.06,0.02,1.08,5.47,0.54,0.26,0.38,0.17,0.01,0.04,0.01,0.12,0.78,0.21,1.39,0.2,0.08,0.06,0.09,1.8,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
