STORENAME,WHICHCVS,ADDRESS,시도,구군
횡성역점,C·SPACE,강원 횡성군 횡성읍 덕고로 591,강원도,횡성군
춘천점,C·SPACE,강원 춘천시 동내면 순환대로 716,강원도,춘천시
횡성시니어클럽6호점,C·SPACE,강원 횡성군 횡성읍 대동로 8,강원도,횡성군
원주기업도시점,C·SPACE,강원 원주시 지정면 기업도시로 125,강원도,원주시
현무점,C·SPACE,강원 춘천시 남산면 북한강변길 378,강원도,춘천시
발전소점,C·SPACE,강원 강릉시 강동면 원장봉길 7,강원도,강릉시
화양강휴게소점,C·SPACE,강원 홍천군 두촌면 설악로 3330,강원도,홍천군
38선휴게소점,GS25,"강원 양양군 현북면 동해대로1242, 38선휴게소 (잔교리 41-10, 38휴게소)",강원도,양양군
G춘천푸른강산점,GS25,강원 춘천시 춘천로22 (퇴계동 1187),강원도,춘천시
가진해변점,GS25,"강원 고성군 죽왕면 가진해변길85, 1층 (가진리 26)",강원도,고성군
간성중앙점,GS25,"강원 고성군 간성읍 간성로29번길4, 1층 (신안리 242-4)",강원도,고성군
간현유원지점,GS25,"강원 원주시 지정면 소금산길22, 1층 (간현리 1056-13)",강원도,원주시
강대사랑점,GS25,강원 춘천시 백령로138번길47(효자3동 631-2),강원도,춘천시
강릉CGV점,GS25,"강원 강릉시 경강로2120, 6층 (옥천동 189)",강원도,강릉시
강릉IC점,GS25,강원 강릉시 경강로1843 (홍제동 481-1),강원도,강릉시
강릉강동점,GS25,"강원 강릉시 강변로410번길38, 1층 103호 (입암동 503-7, 강동4차아파트)",강원도,강릉시
강릉공군점,GS25,강원 강릉시 병산동22번지,강원도,강릉시
강릉공단점,GS25,강원 강릉시 강변로534번길22 (입암동 67-1),강원도,강릉시
강릉관동중점,GS25,"강원 강릉시 원대로38, 104호 (교동 1732)",강원도,강릉시
강릉교동점,GS25,강원 강릉시 가작로14(교1동 1817-6),강원도,강릉시
강릉교동중앙점,GS25,강원 강릉시 하슬라로139 (교동 1902-2),강원도,강릉시
강릉교동현대점,GS25,"강원 강릉시 교동광장로138-13, 교동현대2차아파트 제상가동 제101호 (교동 1767)",강원도,강릉시
강릉금학점,GS25,강원 강릉시 금성로58 (금학동 71),강원도,강릉시
강릉남항진점,GS25,강원 강릉시 공항길127번길32 (남항진동 159-38),강원도,강릉시
강릉내곡기산점,GS25,"강원 강릉시 범일로532, 1층 (내곡동 267-19)",강원도,강릉시
강릉내곡점,GS25,"강원 강릉시 남산초교길12번길33, 1층(내곡동 88-13)",강원도,강릉시
강릉노암점,GS25,강원 강릉시 임영로28(노암동 703-125),강원도,강릉시
강릉노암한라점,GS25,"강원 강릉시 남부로125번길4, 1층 (노암동 614-3)",강원도,강릉시
강릉대로점,GS25,"강원 강릉시 동해대로3292, 1층 (죽헌동 305-1)",강원도,강릉시
강릉대타운점,GS25,"강원 강릉시 지변길2, 1층 (지변동 251-7)",강원도,강릉시
강릉로얄점,GS25,"강원 강릉시 경강로2267번길7, 1층 (포남동 1151-2)",강원도,강릉시
강릉명주점,GS25,강원 강릉시 남문길12 (남문동 117-6),강원도,강릉시
강릉문화점,GS25,강원 강릉시 문화의길8번길2(임당동 81-4),강원도,강릉시
