,구분코드,대분류,중분류,소분류,명칭,시,구,동,위치,위도,경도
0,BE_IW16-0502,한식/중식/일식,전통음식,한식 일반,솔로몬가든,서울특별시,강북구,인수동,서울특별시 강북구 인수동,37.637062650000004,127.00121703848157
1,BE_IW16-0503,한식/중식/일식,전통음식,한식 일반,솔밭골,서울특별시,동작구,대방동,서울특별시 동작구 대방동,37.5067997,126.92913492678356
2,BE_IW16-0504,한식/중식/일식,전통음식,한식 일반,솔밭숯불갈비,서울특별시,강북구,송천동,서울특별시 강북구 송천동,37.6183872,127.02529778499368
3,BE_IW16-0505,한식/중식/일식,전통음식,한식 일반,솔향기,서울특별시,영등포구,양평2동,서울특별시 영등포구 양평2동,37.542624399999994,126.88927562491466
4,BE_IW16-0506,한식/중식/일식,전통음식,한식 일반,솔향기,서울특별시,용산구,원효로1동,서울특별시 용산구 원효로1동,37.53553825,126.95350530762998
5,BE_IW16-0507,한식/중식/일식,전통음식,한식 일반,솟대,서울특별시,종로구,혜화동,서울특별시 종로구 혜화동,37.58755,127.00217
6,BE_IW16-0508,한식/중식/일식,전통음식,한식 일반,송담추어탕,서울특별시,마포구,연남동,서울특별시 마포구 연남동,37.56258,126.92196
7,BE_IW16-0509,한식/중식/일식,전통음식,한식 일반,송림골,서울특별시,동대문구,청량리동,서울특별시 동대문구 청량리동,37.58831,127.0459
8,BE_IW16-0510,한식/중식/일식,전통음식,한식 일반,송림식당,서울특별시,광진구,자양3동,서울특별시 광진구 자양3동,37.5296259,127.07019931805847
9,BE_IW16-0511,한식/중식/일식,전통음식,한식 일반,송림정,서울특별시,중랑구,면목4동,서울특별시 중랑구 면목4동,37.57404015,127.08531157633985
10,BE_IW16-0512,한식/중식/일식,전통음식,한식 일반,송백식당,서울특별시,영등포구,당산2동,서울특별시 영등포구 당산2동,37.536022349999996,126.90314773958738
11,BE_IW16-0513,한식/중식/일식,전통음식,한식 일반,송암,서울특별시,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동,37.57806665,126.99304666562679
12,BE_IW16-0514,한식/중식/일식,전통음식,한식 일반,송오리,서울특별시,서대문구,홍은2동,서울특별시 서대문구 홍은2동,37.58703985,126.92977055214227
13,BE_IW16-0941,한식/중식/일식,전통음식,한식 일반,토방,서울특별시,강북구,인수동,서울특별시 강북구 인수동,37.637062650000004,127.00121703848157
14,BE_IW16-0942,한식/중식/일식,전통음식,한식 일반,토방,서울특별시,송파구,풍납2동,서울특별시 송파구 풍납2동,37.528733,127.116806
15,BE_IW16-0943,한식/중식/일식,전통음식,한식 일반,토속정,서울특별시,은평구,진관동,서울특별시 은평구 진관동,37.642116900000005,126.93543045855546
16,BE_IW16-0944,한식/중식/일식,전통음식,한식 일반,토속촌,서울특별시,서대문구,연희동,서울특별시 서대문구 연희동,37.57234,126.93084
17,BE_IW16-0945,한식/중식/일식,전통음식,한식 일반,토종순대국,서울특별시,은평구,응암1동,서울특별시 은평구 응암1동,37.598506549999996,126.92688310833111
18,BE_IW16-0946,한식/중식/일식,전통음식,한식 일반,통나무집,서울특별시,은평구,불광1동,서울특별시 은평구 불광1동,37.617320199999995,126.93649260273305
19,BE_IW16-0947,한식/중식/일식,전통음식,한식 일반,통나무집,서울특별시,서초구,내곡동,서울특별시 서초구 내곡동,37.4520391,127.07084211874405
20,BE_IW16-0948,한식/중식/일식,전통음식,한식 일반,통나무집,서울특별시,도봉구,쌍문3동,서울특별시 도봉구 쌍문3동,37.6477978,127.03016515421632
21,BE_IW16-0949,한식/중식/일식,전통음식,한식 일반,통나무집,서울특별시,양천구,목2동,서울특별시 양천구 목2동,37.54272185,126.87446788591498
22,BE_IW16-0950,한식/중식/일식,전통음식,한식 일반,통영굴밥,서울특별시,중랑구,중화2동,서울특별시 중랑구 중화2동,37.6002651,127.0758413507817
