,역명
0,서울역
1,시청
2,종각
3,종로3가
4,종로5가
5,동대문
6,신설동
7,제기동
8,청량리
9,동묘앞
10,지축
11,구파발
12,연신내
13,불광
14,녹번
15,홍제
16,무악재
17,독립문
18,경복궁
19,안국
20,종로3가
21,을지로3가
22,충무로
23,동대입구
24,약수
25,금호
26,옥수
27,압구정
28,신사
29,잠원
30,고속터미널
31,교대
32,남부터미널
33,양재
34,매봉
35,도곡
36,대치
37,학여울
38,대청
39,일원
40,수서
41,가락시장
42,경찰병원
43,오금
44,당고개
45,상계
46,노원
47,창동
48,쌍문
49,수유
50,미아
51,미아삼거리
52,길음
53,성신여대입구
54,한성대입구
55,혜화
56,동대문
57,동대문역사문화공원
58,충무로
59,명동
60,회현
61,서울역
62,숙대입구
63,삼각지
64,신용산
65,이촌
66,동작
67,총신대입구
68,사당
69,남태령
70,방화
71,개화산
72,김포공항
73,송정
74,마곡
75,발산
76,우장산
77,화곡
78,까치산
79,신정
80,목동
81,오목교
82,양평
83,영등포구청
84,영등포시장
85,신길
86,여의도
87,여의나루
88,마포
89,공덕
90,애오개
91,충정로
92,서대문
93,광화문
94,종로3가
95,을지로4가
96,동대문역사문화공원
97,청구
98,신금호
99,행당
100,왕십리
101,마장
102,답십리
103,장한평
104,군자
105,아차산
106,광나루
107,천호
108,강동
109,길동
110,굽은다리
111,명일
112,고덕
113,상일동
114,둔촌동
115,올림픽공원(한국체대)
116,방이
117,오금
118,개롱
119,거여
120,마천
121,강일
122,미사
123,하남풍산
124,하남시청
125,하남검단산
126,응암
127,역촌
128,불광
129,독바위
130,연신내
131,구산
132,새절
133,증산
134,디지털미디어시티
135,월드컵경기장
136,마포구청
137,망원
138,합정
139,상수
140,광흥창
141,대흥
142,공덕
143,효창공원앞
144,삼각지
145,녹사평
146,이태원
147,한강진
148,버티고개
149,약수
150,청구
151,신당
152,동묘앞
153,창신
154,보문
155,안암
156,고려대
157,월곡
158,상월곡
159,돌곶이
160,석계
161,태릉입구
162,화랑대
163,봉화산
164,신내
165,장암
166,도봉산
167,수락산
168,마들
169,노원
170,중계
171,하계
172,공릉
173,태릉입구
174,먹골
175,중화
176,상봉
177,면목
178,사가정
179,용마산
180,중곡
181,군자
182,어린이대공원
183,건대입구
184,뚝섬유원지
185,청담
186,강남구청
187,학동
188,논현
189,반포
190,고속터미널
191,내방
192,총신대입구
193,남성
194,숭실대입구
195,상도
196,장승배기
197,신대방삼거리
198,보라매
199,신풍
200,대림
201,남구로
202,가산디지털단지
203,철산
204,광명사거리
205,천왕
206,온수
207,까치울
208,부천종합운동장
209,춘의
210,신중동
211,부천시청
212,상동
213,삼산체육관
214,굴포천
215,부평구청
216,암사
217,천호
218,강동구청
219,몽촌토성
220,잠실
221,석촌
